Id,Name,Property_type,Room_type,Min_nights,Max_nights,Cancellation_policy,Accomodates,Total_bedrooms,Total_beds,Price,Security_deposit,Cleaning_fee,Extra_people,Guests_included,No_of_reviews,Review_scores,Host_id,Host_name,Availability_30,Availability_60,Availability_90,Availability_365,Country,Longitude,Latitude,City
32338059,2 Bedroom Ocean Front Condo in North Kaanapali - Sleeps 6 - Kaanapali Shores #160,Condominium,Entire home/apt,5,28,super_strict_60,6,1.3226863226863228,2.0,423,271.6562150055991,116.97643732327991,0.0,6.0,0,94,118578746,Mindy,0,0,1,115,United States,-156.68888,20.95005,Lahaina
32362812,THE MOST CENTRAL LOCATION OF THE City! PL1,Apartment,Private room,2,1125,strict_14_with_grace_period,3,1.0,2.0,65,242.726862302483,43.026209677419345,0.0,1.0,2,91,242522731,Cristinaa,5,13,13,13,Spain,2.165,41.38294,Barcelona
32418682,红磡五星级酒店式公寓海景房豪华装修海韵轩海湾轩 理工大嘉里酒店边维港夜景 尖沙咀海港城庙街旺角西九龙,Serviced apartment,Entire home/apt,1,1125,strict_14_with_grace_period,4,2.0,1.7395659432387311,1751,1424.055718475073,179.45801526717557,0.0,1.0,4,91,162933017,小莲,12,22,49,324,Hong Kong,114.18397,22.30222,Hong Kong
32481559,1 SingleRoom in Beautiful Flat Center,Apartment,Private room,2,5,strict_14_with_grace_period,1,1.0,1.0,24,242.726862302483,43.026209677419345,0.0,1.0,1,91,9350314,Peter,17,47,77,77,Spain,2.17153,41.37676,Barcelona
32503549,WorldMark Kona 2 Bedroom Timeshare Condo,Condominium,Entire home/apt,7,7,flexible,6,1.3226863226863228,4.0,225,271.6562150055991,116.97643732327991,0.0,1.0,0,94,244231474,Gina,0,0,11,286,United States,-155.98617,19.62605,Kailua-Kona
32663016,★ RARE - gigantic Montreal nest ★ MTL life - @Prefontaine E,Apartment,Entire home/apt,1,365,moderate,14,6.0,8.0,160,324.84578313253013,50.470715835141,10.0,10.0,0,93,66055808,Host-Me,0,0,0,275,Canada,-73.54624,45.54095,Montreal
32734009,"[6TS- 9B] Large studio @ Mong Kok Center, 4 pax",Apartment,Entire home/apt,1,1125,strict_14_with_grace_period,4,1.0,1.7395659432387311,754,1424.055718475073,179.45801526717557,75.0,3.0,0,91,240526225,Danish,4,14,43,43,Hong Kong,114.17161,22.3177,Hong Kong
32748063,This room is perfect for responsible guests,House,Private room,1,30,flexible,2,1.0,2.0,70,324.84578313253013,50.470715835141,0.0,1.0,0,93,246059708,Mhmd,26,32,62,152,Canada,-73.57206,45.54042,Montreal
3288363,Cosy one bed studio apartment,Apartment,Entire home/apt,1,1125,moderate,2,1.0,1.7395659432387311,502,1424.055718475073,179.45801526717557,0.0,1.0,1,91,8118271,Deborah,0,0,0,0,Hong Kong,114.18394,22.26972,Hong Kong
3288487,Rio de Janeiro - Unforgettable!,Apartment,Private room,1,1125,flexible,1,1.0,1.0,746,1204.209631728045,154.4988066825776,0.0,1.0,0,95,10828042,Eduardo,30,60,90,365,Brazil,-43.44788140018425,-23.01054142728607,Rio de Janeiro
32896330,rent my bedroom while i am away,Apartment,Private room,3,1125,flexible,1,1.0,1.0,25,324.84578313253013,50.470715835141,0.0,1.0,0,93,117283744,Stephen,14,23,53,143,Canada,-73.5606,45.47889,Montreal
32969,Light filled Williamsburg Apartment,Apartment,Entire home/apt,3,29,strict_14_with_grace_period,2,1.3226863226863228,1.0,160,271.6562150055991,116.97643732327991,25.0,2.0,7,94,142833,Katherine,12,29,42,317,United States,-73.93938,40.71596,Brooklyn
30921897,Romantic studio with stunning Galata Tower View,House,Entire home/apt,2,1125,flexible,2,1.3490136570561457,1.9816232771822357,179,726.4401913875598,82.5373665480427,0.0,1.0,4,92,100922124,Esra,7,31,61,61,Turkey,28.9739,41.02832,Beyoglu
31036628,cosy room in uskudar,Apartment,Private room,1,1125,flexible,1,1.3490136570561457,1.9816232771822357,53,726.4401913875598,82.5373665480427,0.0,1.0,1,92,231817714,Yusuf,30,60,90,365,Turkey,29.0198,41.02099,Uskudar
31037891,NEW BIG ROOM IN MID LEVELS - SAI YING PUN MTR,Apartment,Private room,5,150,strict_14_with_grace_period,2,1.0,1.7395659432387311,447,1424.055718475073,179.45801526717557,100.0,1.0,1,91,20204555,Jorge,0,0,0,0,Hong Kong,114.14112,22.28333,Hong Kong
31057997,Studio downtown montreal,Apartment,Entire home/apt,3,1125,flexible,2,0.0,1.0,60,324.84578313253013,50.470715835141,0.0,1.0,0,93,58775153,Iba,30,60,90,180,Canada,-73.552,45.52502,Montreal
